TIME(s);RPM(r/min);TPS(%);MAP(kPa);CLT(°C);IAT(°C);AOut(V);AccVoltage(V)
5,82;1150;0;16;92;28;0,00;15,29;
5,85;1150;0;16;92;28;0,00;15,29;
5,88;1160;0;16;92;28;0,00;15,29;
5,91;1160;0;16;95;28;0,00;15,29;
5,94;1160;0;16;92;28;0,00;15,29;
5,97;1169;0;16;92;28;0,00;15,29;
6,01;1169;0;17;92;28;0,00;15,29;
6,04;1169;0;16;95;28;0,00;15,29;
6,06;1169;0;16;95;28;0,00;15,29;
6,09;1184;0;16;91;28;0,00;15,29;
6,13;1184;0;17;92;28;0,00;15,29;
6,17;1184;0;16;92;28;0,00;15,29;
6,19;1177;0;17;95;28;0,00;15,29;
6,22;1177;0;16;92;28;0,00;15,29;
6,27;1177;0;16;95;28;0,00;15,29;
6,30;1165;0;16;95;28;0,00;15,29;
6,32;1165;0;17;92;28;0,00;15,29;
6,35;1165;0;16;95;28;0,00;15,29;
6,38;1165;0;16;92;28;0,00;15,29;
6,41;1143;0;16;95;28;0,00;15,29;
6,45;1143;0;17;92;28;0,00;15,29;
6,48;1143;0;18;92;28;0,00;15,29;
6,50;1124;0;17;95;28;0,00;15,29;
6,53;1124;0;17;92;28;0,00;15,29;
6,56;1124;0;16;95;28;0,00;15,29;
6,60;1127;0;16;95;28;0,00;15,29;
6,63;1127;0;16;95;28;0,00;15,29;
6,66;1127;0;16;95;28;0,00;15,29;
6,70;1127;0;17;95;28;0,00;15,29;
6,72;1141;0;16;95;28;0,00;15,29;
6,75;1141;0;16;92;28;0,00;15,29;
6,78;1141;0;18;92;28;0,00;15,29;
6,82;1162;0;18;95;28;0,00;15,29;
6,85;1162;0;17;95;28;0,00;15,29;
6,88;1162;0;16;95;28;0,00;15,29;
6,92;1191;0;16;92;28;0,00;15,29;
6,94;1191;0;16;95;28;0,00;15,29;
6,97;1191;0;16;95;28;0,00;15,29;
7,01;1191;0;15;92;28;0,00;15,29;
7,03;1206;0;15;95;28;0,00;15,29;
7,06;1206;0;17;95;28;0,00;15,29;
7,10;1222;0;16;92;28;0,00;15,29;
7,14;1222;0;15;95;28;0,00;15,29;
7,16;1222;0;16;95;28;0,00;15,29;
7,19;1222;0;16;95;28;0,00;15,29;
7,22;1221;0;15;92;28;0,00;15,29;
7,25;1221;0;15;92;28;0,00;15,29;
7,28;1221;0;16;95;28;0,00;15,29;
7,31;1214;0;14;92;28;0,00;15,29;
7,36;1214;0;14;95;28;0,00;15,29;
7,38;1214;0;15;95;28;0,00;15,29;
7,41;1205;0;16;95;28;0,00;15,29;
7,44;1205;0;15;95;28;0,00;15,29;
7,48;1205;0;15;95;28;0,00;15,29;
7,51;1189;0;15;95;28;0,00;15,29;
7,53;1189;0;16;95;28;0,00;15,29;
7,57;1189;0;16;95;28;0,00;15,29;
7,60;1189;0;15;95;28;0,00;15,29;
7,63;1173;0;15;95;28;0,00;15,29;
7,66;1173;0;16;95;28;0,00;15,29;
7,69;1173;0;16;95;28;0,00;15,29;
7,72;1150;0;16;95;28;0,00;15,29;
7,76;1150;0;16;95;28;0,00;15,29;
7,79;1150;0;16;95;28;0,00;15,29;
7,82;1139;0;16;95;28;0,00;15,29;
7,85;1139;0;16;95;28;0,00;15,29;
7,88;1139;0;16;95;28;0,00;15,29;
7,92;1139;0;16;95;28;0,00;15,29;
7,94;1125;0;16;95;28;0,00;15,29;
7,97;1125;0;17;95;28;0,00;15,29;
8,04;1130;0;16;95;28;0,00;15,29;
8,06;1130;0;18;95;28;0,00;15,29;
8,09;1130;0;16;95;28;0,00;15,29;
8,14;1130;0;16;92;28;0,00;15,29;
8,16;1148;0;16;95;28;0,00;15,29;
8,19;1148;0;16;92;28;0,00;15,29;
8,24;1148;0;17;95;28;0,00;15,29;
8,25;1159;0;16;95;28;0,00;15,29;
8,28;1159;0;16;92;28;0,00;15,29;
8,31;1159;0;16;95;28;0,00;15,29;
8,35;1176;0;18;95;28;0,00;15,29;
8,38;1176;0;16;95;28;0,00;15,29;
8,41;1176;0;16;95;28;0,00;15,29;
8,46;1193;0;16;95;28;0,00;15,29;
8,47;1193;0;16;95;28;0,00;15,29;
8,50;1193;0;16;95;28;0,00;15,29;
8,53;1193;0;15;95;28;0,00;15,29;
8,56;1209;0;16;95;28;0,00;15,29;
8,60;1209;0;17;95;28;0,00;15,29;
8,63;1212;0;15;95;28;0,00;15,29;
8,67;1212;0;16;95;28;0,00;15,29;
8,69;1212;0;16;95;28;0,00;15,29;
8,72;1212;0;16;95;28;0,00;15,29;
8,75;1205;0;15;95;28;0,00;15,29;
8,79;1205;0;15;95;28;0,00;15,29;
8,81;1205;0;16;95;28;0,00;15,29;
8,84;1188;0;15;95;28;0,00;15,29;
8,89;1188;0;16;95;28;0,00;15,29;
8,91;1188;0;15;95;28;0,00;15,29;
8,94;1153;0;16;95;28;0,00;15,29;
9,11;1153;0;16;95;28;0,00;15,29;
9,15;1153;0;16;95;28;0,00;15,29;
9,17;1134;0;17;95;28;0,00;15,29;
9,19;1134;0;17;95;28;0,00;15,29;
9,24;1134;0;18;95;28;0,00;15,29;
9,27;1134;0;16;95;28;0,00;15,29;
9,28;1120;0;17;95;28;0,00;15,29;
9,33;1120;0;17;95;28;0,00;15,29;
9,35;1120;0;18;95;28;0,00;15,29;
9,38;1122;0;17;95;28;0,00;15,29;
9,41;1122;0;16;96;28;0,00;15,29;
9,44;1122;0;16;95;28;0,00;15,29;
9,47;1140;0;17;95;28;0,00;15,29;
9,50;1140;0;16;95;28;0,00;15,29;
9,54;1140;0;16;95;28;0,00;15,29;
9,57;1140;0;16;95;28;0,00;15,29;
9,60;1167;0;16;95;28;0,00;15,29;
9,63;1167;0;18;95;28;0,00;15,29;
9,66;1167;0;17;95;28;0,00;15,29;
9,69;1187;0;16;95;28;0,00;15,29;
9,72;1187;0;17;95;28;0,00;15,29;
9,76;1187;0;16;95;28;0,00;15,29;
9,78;1217;0;17;95;28;0,00;15,29;
9,81;1217;0;15;95;28;0,00;15,29;
9,84;1217;0;15;95;28;0,00;15,29;
9,88;1239;0;16;95;28;0,00;15,29;
9,91;1239;0;15;95;28;0,00;15,29;
9,94;1239;0;16;95;28;0,00;15,29;
9,98;1237;0;16;95;28;0,00;15,29;
10,01;1237;0;16;95;28;0,00;15,29;
10,03;1237;0;14;95;28;0,00;15,29;
10,06;1230;0;16;95;28;0,00;15,29;
10,10;1230;0;16;95;28;0,00;15,29;
10,13;1230;0;16;95;28;0,00;15,29;
10,16;1211;0;15;95;28;0,00;15,29;
10,21;1211;0;16;95;28;0,00;15,29;
10,22;1211;0;17;95;28;0,00;15,29;
10,25;1211;0;15;95;28;0,00;15,29;
10,28;1188;0;16;95;28;0,00;15,29;
10,32;1188;0;16;95;28;0,00;15,22;
10,35;1188;0;17;95;28;0,00;15,22;
10,38;1142;0;15;95;28;0,00;15,22;
10,42;1142;0;15;92;28;0,00;15,22;
10,45;1142;0;16;95;28;0,00;15,22;
10,47;1119;0;16;95;28;0,00;15,22;
10,51;1119;0;18;95;28;0,00;15,22;
10,54;1119;0;16;95;28;0,00;15,22;
10,56;1119;0;17;95;28;0,00;15,22;
10,59;1139;0;17;95;28;0,00;15,22;
10,64;1139;0;16;95;28;0,00;15,22;
10,66;1139;0;17;95;28;0,00;15,22;
10,69;1158;0;17;95;28;0,00;15,22;
10,72;1158;0;17;95;28;0,00;15,22;
10,75;1158;0;16;95;28;0,00;15,22;
10,78;1158;0;16;92;28;0,00;15,22;
10,81;1181;0;16;95;28;0,00;15,22;
10,86;1181;0;16;95;28;0,00;15,22;
10,89;1181;0;16;95;28;0,00;15,22;
10,91;1203;0;16;95;28;0,00;15,22;
10,94;1203;0;16;95;28;0,00;15,22;
10,98;1203;0;16;95;28;0,00;15,22;
11,00;1224;0;15;95;28;0,00;15,22;
11,03;1224;0;16;95;28;0,00;15,22;
11,08;1224;0;14;95;28;0,00;15,22;
11,10;1252;0;15;95;28;0,00;15,22;
11,13;1252;0;14;95;28;0,00;15,22;
11,16;1252;0;14;95;28;0,00;15,22;
11,20;1269;0;15;95;28;0,00;15,22;
11,22;1269;0;14;95;28;0,00;15,22;
11,25;1277;0;14;92;28;0,00;15,22;
11,30;1277;0;15;95;28;0,00;15,22;
11,31;1277;0;14;95;28;0,00;15,22;
11,34;1277;0;15;95;28;0,00;15,22;
11,38;1269;0;13;95;28;0,00;15,22;
11,41;1269;0;15;95;28;0,00;15,22;
11,44;1269;0;16;95;28;0,00;15,22;
11,47;1265;0;15;95;28;0,00;15,22;
11,52;1265;0;13;95;28;0,00;15,22;
11,54;1265;0;14;95;28;0,00;15,22;
11,56;1260;0;14;95;28;0,00;15,22;
11,60;1260;0;14;95;28;0,00;15,22;
11,63;1260;0;13;95;28;0,00;15,22;
11,66;1256;0;14;95;28;0,00;15,22;
11,69;1256;0;15;95;28;0,00;15,22;
11,74;1256;0;16;95;28;0,00;15,22;
11,76;1249;0;16;95;28;0,00;15,22;
11,78;1249;0;15;95;28;0,00;15,22;
11,81;1249;0;16;95;28;0,00;15,22;
11,85;1241;0;16;95;28;0,00;15,22;
11,88;1241;0;15;95;28;0,00;15,22;
11,91;1241;0;15;95;28;0,00;15,22;
11,95;1240;0;14;95;28;0,00;15,22;
11,97;1240;0;15;95;28;0,00;15,22;
12,01;1240;0;15;95;28;0,00;15,22;
12,03;1240;0;14;95;28;0,00;15,22;
12,06;1219;0;15;95;28;0,00;15,22;
12,09;1207;0;16;95;28;0,00;15,22;
12,22;1207;0;15;95;28;0,00;15,22;
12,26;1192;0;15;95;28;0,00;15,22;
12,29;1192;0;15;95;28;0,00;15,22;
12,31;1192;0;15;95;28;0,00;15,22;
12,35;1171;0;16;95;28;0,00;15,22;
12,40;1171;0;15;95;28;0,00;15,22;
12,41;1171;0;15;95;28;0,00;15,22;
12,44;1184;0;15;95;28;0,00;15,22;
12,47;1184;0;16;95;28;0,00;15,22;
12,51;1184;0;16;96;28;0,00;15,22;
12,53;1184;0;15;95;28;0,00;15,22;
12,56;1202;0;15;95;28;0,00;15,22;
12,61;1202;0;15;95;28;0,00;15,22;
12,64;1202;0;16;95;28;0,00;15,22;
12,66;1216;0;15;95;28;0,00;15,22;
12,69;1216;0;16;95;28;0,00;15,22;
12,73;1216;0;16;95;28;0,00;15,22;
12,75;1235;0;14;95;28;0,00;15,22;
12,78;1235;0;15;95;28;0,00;15,22;
12,84;1252;0;14;95;28;0,00;15,22;
12,86;1252;0;14;95;28;0,00;15,22;
12,88;1252;0;14;91;28;0,00;15,22;
12,91;1252;0;15;95;28;0,00;15,22;
12,94;1267;0;14;95;28;0,00;15,22;
12,97;1267;0;14;95;28;0,00;15,22;
13,01;1281;0;14;95;28;0,00;15,22;
13,05;1281;0;13;95;28;0,00;15,22;
13,07;1281;0;14;95;28;0,00;15,22;
13,10;1281;0;15;95;28;0,00;15,22;
13,13;1288;0;13;95;28;0,00;15,22;
13,17;1288;0;14;95;28;0,00;15,22;
13,19;1288;0;15;95;28;0,00;15,22;
13,22;1300;0;15;95;28;0,00;15,22;
13,27;1300;0;14;95;28;0,00;15,22;
13,29;1300;0;15;95;28;0,00;15,22;
13,31;1302;0;13;95;28;0,00;15,22;
13,34;1302;0;15;95;28;0,00;15,22;
13,38;1302;0;15;95;28;0,00;15,22;
13,41;1312;0;13;95;28;0,00;15,22;
13,44;1312;0;13;95;28;0,00;15,22;
13,49;1312;0;13;95;28;0,00;15,22;
13,50;1317;0;13;95;28;0,00;15,22;
13,53;1317;0;16;92;28;0,00;15,22;
13,56;1322;0;13;95;28;0,00;15,22;
13,60;1322;0;14;95;28;0,00;15,22;
13,63;1322;0;14;95;28;0,00;15,22;
13,66;1333;0;13;95;28;0,00;15,22;
13,71;1333;0;14;95;28;0,00;15,22;
13,72;1333;0;13;95;28;0,00;15,22;
13,76;1332;0;13;95;28;0,00;15,22;
13,78;1332;0;12;92;28;0,00;15,22;
13,82;1332;0;12;95;28;0,00;15,22;
13,85;1338;0;14;95;28;0,00;15,22;
13,88;1338;0;14;95;28;0,00;15,22;
13,92;1338;0;14;95;28;0,00;15,22;
13,95;1341;0;14;95;28;0,00;15,22;
13,97;1341;0;13;95;28;0,00;15,22;
14,00;1340;0;13;95;28;0,00;15,22;
14,05;1340;0;13;95;28;0,00;15,22;
14,06;1340;0;12;95;28;0,00;15,22;
14,09;1331;0;15;95;28;0,00;15,22;
14,15;1331;0;14;95;28;0,00;15,22;
14,17;1331;0;13;95;28;0,00;15,22;
14,19;1331;0;13;96;28;0,00;15,22;
14,22;1333;0;13;95;28;0,00;15,22;
14,25;1333;0;15;95;28;0,00;15,22;
14,28;1333;0;12;95;28;0,00;15,22;
14,31;1323;0;13;95;28;0,00;15,22;
14,37;1323;0;14;95;28;0,00;15,22;
14,38;1327;0;13;95;28;0,00;15,22;
14,41;1327;0;13;95;28;0,00;15,22;
14,44;1327;0;12;95;28;0,00;15,22;
14,48;1327;0;13;91;28;0,00;15,22;
14,51;1327;0;13;95;28;0,00;15,22;
14,53;1327;0;12;95;28;0,00;15,22;
14,58;1329;0;15;95;28;0,00;15,22;
14,60;1329;0;13;95;28;0,00;15,22;
14,63;1329;0;13;95;28;0,00;15,22;
14,66;1332;0;12;95;28;0,00;15,22;
14,70;1332;0;13;95;28;0,00;15,22;
14,72;1332;0;13;95;28;0,00;15,22;
14,75;1336;0;15;95;28;0,00;15,22;
14,80;1336;0;14;95;28;0,00;15,22;
14,83;1336;0;15;95;28;0,00;15,22;
14,84;1332;0;12;95;28;0,00;15,22;
14,88;1332;0;15;95;28;0,00;15,22;
14,91;1332;0;14;95;28;0,00;15,22;
14,94;1327;0;13;95;28;0,00;15,22;
14,97;1327;0;12;95;28;0,00;15,22;
15,02;1327;0;13;95;28;0,00;15,22;
15,03;1325;0;13;95;28;0,00;15,22;
15,06;1325;0;15;95;28;0,00;15,22;
15,09;1319;0;13;95;28;0,00;15,22;
15,13;1319;0;14;95;28;0,00;15,22;
15,16;1319;0;13;95;28;0,00;15,22;
15,19;1321;0;13;95;28;0,00;15,22;
15,24;1321;0;14;95;28;0,00;15,22;
15,26;1321;0;14;95;28;0,00;15,22;
15,28;1336;0;15;95;28;0,00;15,22;
15,31;1336;0;17;95;28;0,00;15,22;
15,36;1336;0;17;95;28;0,00;15,22;
15,38;1352;0;21;95;28;0,00;15,22;
15,41;1352;0;24;95;28;0,00;15,22;
15,46;1352;0;25;95;28;0,00;15,22;
15,48;1422;0;26;96;28;0,00;15,22;
15,50;1422;0;27;95;28;0,00;15,22;
15,53;1509;0;27;95;28;0,00;15,22;
15,57;1509;0;31;95;28;0,00;15,22;
15,59;1509;0;33;95;28;0,00;15,22;
15,63;1627;0;31;95;28;0,00;15,22;
15,68;1768;0;30;120;28;0,00;15,22;
15,70;1768;0;29;74;28;0,00;15,22;
15,72;1768;0;31;95;28;0,00;15,22;
15,75;1897;0;28;95;28;0,00;15,22;
15,79;1897;0;29;95;28;0,00;15,22;
15,81;2014;0;28;95;28;0,00;15,22;
15,84;2118;0;27;95;28;0,00;15,22;
15,90;2118;0;27;95;28;0,00;15,22;
15,91;2213;0;26;95;28;0,00;15,22;
15,94;2213;0;25;95;28;0,00;15,22;
15,97;2294;0;24;95;28;0,00;15,22;
16,01;2294;0;22;95;28;0,00;15,22;
16,03;2370;0;23;95;28;0,00;15,22;
16,06;2438;0;21;95;28;0,00;15,22;
16,12;2438;0;23;95;28;0,00;15,22;
16,14;2501;0;20;95;28;0,00;15,22;
16,16;2562;0;20;95;28;0,00;15,22;
16,19;2618;0;19;95;28;0,00;15,22;
16,24;2618;0;21;90;28;0,00;15,22;
16,25;2667;0;18;95;28;0,00;15,22;
16,28;2713;0;18;95;28;0,00;15,22;
16,33;2713;0;17;95;28;0,00;15,22;
16,35;2756;0;16;95;28;0,00;15,22;
16,38;2795;0;18;95;28;0,00;15,22;
16,41;2795;0;17;95;28;0,00;15,22;
16,45;2833;0;18;95;28;0,00;15,22;
16,47;2865;0;16;95;28;0,00;15,22;
16,50;2897;0;18;95;28;0,00;15,22;
16,55;2897;0;15;95;28;0,00;15,22;
16,57;2929;0;18;96;28;0,00;15,22;
16,59;2958;0;16;95;28;0,00;15,22;
16,63;2985;0;16;95;28;0,00;15,22;
16,67;2985;0;18;95;28;0,00;15,22;
16,69;3011;0;15;95;28;0,00;15,22;
16,72;3061;0;16;95;28;0,00;15,22;
16,78;3061;0;17;92;28;0,00;15,22;
16,79;3085;0;16;95;28;0,00;15,22;
16,81;3085;0;15;96;28;0,00;15,22;
16,85;3106;0;15;95;28;0,00;15,22;
16,88;3128;0;16;95;28;0,00;15,22;
16,91;3148;0;16;95;28;0,00;15,22;
16,94;3166;0;14;95;28;0,00;15,22;
16,99;3185;0;16;95;28;0,00;15,22;
17,00;3185;0;16;95;28;0,00;15,22;
17,03;3204;0;14;95;28;0,00;15,22;
17,06;3221;0;14;95;28;0,00;15,22;
17,10;3239;0;14;91;28;0,00;15,22;
17,13;3253;0;14;95;28;0,00;15,22;
17,16;3271;0;16;95;28;0,00;15,22;
17,21;3271;0;16;95;28;0,00;15,22;
17,22;3284;0;16;95;28;0,00;15,22;
17,25;3302;0;14;95;28;0,00;15,22;
17,28;3314;0;16;96;28;0,00;15,22;
17,32;3329;0;14;95;28;0,00;15,22;
17,34;3341;0;14;95;28;0,00;15,22;
17,38;3354;0;14;96;28;0,00;15,22;
17,43;3366;0;15;95;28;0,00;15,22;
17,45;3366;0;14;95;28;0,00;15,22;
17,47;3379;0;14;95;28;0,00;15,22;
17,50;3399;0;13;95;28;0,00;15,22;
17,55;3399;0;14;95;28;0,00;15,22;
17,58;3411;0;13;95;28;0,00;15,22;
17,59;3431;0;14;95;28;0,00;15,22;
17,65;3431;0;13;96;28;0,00;15,22;
17,67;3440;0;12;95;28;0,00;15,22;
17,69;3440;0;11;95;28;0,00;15,22;
17,72;3455;0;13;95;28;0,00;15,22;
17,76;3455;0;14;95;28;0,00;15,22;
17,78;3462;0;11;95;28;0,00;15,22;
17,81;3476;0;13;95;28;0,00;15,22;
17,87;3476;0;13;95;28;0,00;15,22;
17,88;3480;0;12;95;28;0,00;15,22;
17,91;3487;0;13;95;28;0,00;15,22;
17,94;3493;0;13;95;28;0,00;15,22;
17,98;3496;0;12;95;28;0,00;15,22;
18,01;3501;0;12;95;28;0,00;15,22;
18,03;3506;0;13;96;28;0,00;15,22;
18,08;3506;0;12;96;28;0,00;15,22;
18,10;3506;0;14;95;28;0,00;15,22;
18,13;3508;0;11;96;28;0,00;15,22;
18,16;3514;0;13;95;28;0,00;15,22;
18,20;3514;0;11;95;28;0,00;15,22;
18,22;3513;0;12;95;28;0,00;15,22;
18,25;3510;0;13;95;28;0,00;15,22;
18,31;3510;0;11;95;28;0,00;15,22;
18,33;3512;0;10;95;28;0,00;15,22;
18,34;3516;0;11;95;28;0,00;15,22;
18,38;3515;0;12;96;28;0,00;15,22;
18,42;3516;0;13;95;28;0,00;15,22;
18,44;3516;0;13;95;28;0,00;15,22;
18,47;3521;0;12;96;28;0,00;15,22;
18,52;3521;0;11;95;28;0,00;15,22;
18,53;3521;0;13;96;28;0,00;15,22;
18,56;3529;0;13;95;28;0,00;15,22;
18,59;3531;0;12;96;28;0,00;15,22;
18,64;3531;0;11;95;28;0,00;15,22;
18,66;3531;0;11;95;28;0,00;15,22;
